2025-05-02T03:45:09.763025100,DEPOSIT,798423180,0,3000.00
2025-05-02T03:53:30.428507700,DEPOSIT,798423180,0,200.00
2025-05-02T03:54:16.202408700,DEPOSIT,995851349,0,400000.00
2025-05-02T04:06:38.526606200,DEPOSIT,995851349,0,12312.00
2025-05-02T04:07:05.121446200,CHARGE_TO_CARD,759593497,0,333.00
2025-05-02T04:20:39.057381500,DEPOSIT,995851349,0,21313131.00
2025-05-02T04:20:55.206119100,DEPOSIT,995851349,0,222222.00
2025-05-02T04:31:39.965186500,DEPOSIT,995851349,0,44444.00
2025-05-02T04:45:47.567218900,DEPOSIT,798423180,0,32131.00
2025-05-02T04:46:04.907932900,DEPOSIT,995851349,0,22222.00
2025-05-02T04:46:24.817085200,WITHDRAWAL,995851349,0,222.00
2025-05-02T04:49:17.675038,DEPOSIT,995851349,0,20000.00
2025-05-02T04:53:38.959358700,DEPOSIT,995851349,0,231313.00
2025-05-02T04:59:16.075535600,DEPOSIT,995851349,0,23131.00
